"TOA5","1-1","CR1000X","37258","CR1000X.Std.06.00","CPU:CR1000X_SapFlow.CR1X","23351","Table1"
"TIMESTAMP","RECORD","TH1(1)","TH1(2)","TH1(3)","TH1(4)","TH1(5)","TH2(1)","TH2(2)","TH2(3)","TH2(4)","TH2(5)","TH3(1)","TH3(2)","TH3(3)","TH3(4)","TH3(5)","HT","HT2"
"TS","RN","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","Vx/Vout","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-07-01 14:34:01",1668,-0.084,-0.564,-0.767,-0.734,-0.293,-0.55,-0.665,-0.643,-0.412,-0.573,-0.487,-0.574,-0.487,-0.599,-0.725,0,0
"2022-07-01 14:34:02",1669,-0.075,-0.55,-0.769,-0.735,-0.294,-0.552,-0.667,-0.645,-0.417,-0.577,-0.488,-0.575,-0.488,-0.601,-0.727,0,0
"2022-07-01 14:34:03",1670,-0.054,-0.542,-0.77,-0.735,-0.29,-0.552,-0.669,-0.646,-0.418,-0.58,-0.489,-0.576,-0.489,-0.602,-0.728,0,0
"2022-07-01 14:34:04",1671,-0.026,-0.534,-0.77,-0.735,-0.281,-0.549,-0.671,-0.648,-0.416,-0.58,-0.489,-0.577,-0.488,-0.604,-0.73,0,0
"2022-07-01 14:34:05",1672,-0.039,-0.531,-0.771,-0.735,-0.281,-0.548,-0.672,-0.649,-0.415,-0.58,-0.49,-0.578,-0.488,-0.604,-0.731,0,0
"2022-07-01 14:34:06",1673,-0.019,-0.527,-0.771,-0.735,-0.276,-0.546,-0.674,-0.65,-0.414,-0.58,-0.49,-0.579,-0.488,-0.605,-0.733,0,0
"2022-07-01 14:34:07",1674,-0.032,-0.526,-0.771,-0.735,-0.277,-0.545,-0.675,-0.652,-0.413,-0.579,-0.491,-0.579,-0.487,-0.605,-0.734,0,0
"2022-07-01 14:34:08",1675,-0.051,-0.528,-0.772,-0.735,-0.283,-0.546,-0.676,-0.653,-0.414,-0.58,-0.492,-0.58,-0.487,-0.605,-0.735,0,0
