#,Name,RefDes,Value,Quantity
1,nRF52840-DONGLE,A1,,1
2,VX078-500-M,A3,,1
3,CAP_NONPOLARIZED,C1,33pF,1
4,CAP_NONPOLARIZED,"C2, C3, C4",1uF,3
5,CAP_NONPOLARIZED,"C5, C6",10uF,2
6,CAP_NONPOLARIZED,C7,22uF,1
7,DIO_1,"D1, D2",,2
8,CON8F,J1,,1
9,1725656,J2,Batt,1
10,1725656,J3,Heater,1
11,1725656,J4,TH1,1
12,1725656,J5,TH2,1
13,1725656,J6,TH3,1
14,Solder_JMP_2,"J7, J8, J9",,3
15,5009010801,J10,Hinged Type,1
16,MOSFET_ENH_ND,"Q1, Q2, Q3, Q4, Q8",IRLML6244,5
17,FCP190N65S3R0,Q5,,1
18,MOSFET_ENH_P,"Q6, Q7",FQB22P10TM,2
19,MOSFET_ENH_P,Q9,SI4143DY-T1-GE3,1
20,MOSFET_ENH_ND,Q10,IPN70R2K1CE,1
21,RES_1206_L,"R1, R2, R3, R6, R9, R12, R13",10k,7
22,RES_FIXED,"R4, R15, R17, R18",1M,4
23,RES_1206_L,R5,,1
24,RES_ARRAY_4RI,"R7, R14",1M,2
25,RES_FIXED,R8,0.004,1
26,RES_1206_L,R10,470k,1
27,RES_1206_L,R11,47k,1
28,RES_FIXED,R16,100k,1
29,UCC27533,U1,,1
30,MC74LVX4052DR2G,U2,,1
31,SN74LVC1G98-EP,"U3, U9",,2
32,MCP1700T-3002E/MB,U4,,1
33,ADS1100,U5,,1
34,DS3231SN,U6,,1
35,INA281A-Q1,U7,INA281A3-Q1,1
36,TPS2080D,U8,,1
