#,Name,RefDes,Value,Quantity,Quanity for 10
1,VX078-500-M,A1,VXO7812-500-M,1,10
2,VX078-500-M,A2,VXO7803-500-M,1,10
3,CX102B,A3,,1,10
4,nRF52840-DONGLE,A5,,1,10
5,BATTERY,B1,,1,10
6,CAP_NONPOLARIZED,"C1, C4",10uF,2,20
7,CAP_NONPOLARIZED,"C2, C3, C5",22uF,3,30
8,DIO_LED_1,D1,Green,1,10
9,DIO_LED_1,"D2, D3, D4, D5, D6",Red,5,50
10,CON8M,J1,Tree1,1,10
11,CON8M,J2,Tree2,1,10
12,CON8M,J3,Tree3,1,10
13,CON8M,J4,Tree4,1,10
14,CON8M,J5,Tree5,1,10
15,PPTC021LFBN-RC,J6,VX1,1,10
16,PPTC021LFBN-RC,J7,VX2,1,10
17,PPTC021LFBN-RC,J8,VX3,1,10
18,PPTC021LFBN-RC,J9,PWR_12V,1,10
19,PPTC031LFBN-RC,J10,UART,1,10
20,PPTC052LFBN-RC,"J11, J12, J13",,3,30
21,IND_IRON_CORE,L1,18uH,1,10
22,MOSFET_ENH_P,Q1,,1,10
23,MOSFET_ENH_N,"Q2, Q4, Q5, Q6, Q7, Q8, Q9, Q10",IRML6244,8,80
24,MOSFET_ENH_N,Q3,,1,10
25,RES_FIXED,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15",10k 0.1%,15,150
26,RES_FIXED,"R16, R17, R25, R26, R27, R28, R29, R30, R32, R33",,10,100
27,RES_FIXED,R18,1M,1,10
28,RES_FIXED,"R19, R20, R21, R22, R23",100k,5,50
29,3296W-1-102LF,R24,,1,10
30,RES_FIXED,R31,820,1,10
