#,Name,RefDes,Value,Quantity,Quantity for 40
1,VX078-500-M,A1,,1,40
2,nRF52840-DONGLE,A2,,1,40
3,CAP_NONPOLARIZED,"C1, C2, C8",10uF,3,120
4,CAP_NONPOLARIZED,C3,22uF,1,40
5,CAP_NONPOLARIZED,"C4, C5, C6, C9",1uF,4,160
6,CAP_NONPOLARIZED,C7,33pF,1,40
7,CAP_NONPOLARIZED,C10,0.1uF,1,40
8,DIO_1,"D1, D2",,2,80
9,CON8F,J1,,1,40
10,1725656,J2,Heater,1,40
11,1725656,J3,Batt,1,40
12,1725656,J4,TH1,1,40
13,1725656,J5,TH2,1,40
14,1725656,J6,TH3,1,40
15,Solder_JMP_JA,"J7, J8, J9, J11, J12, J13",,6,240
16,5009010801,J10,Hinged Type,1,40
17,3001,J14,,1,40
18,MOSFET_ENH_P,"Q1, Q2",FQB22P10TM,2,80
19,FCP190N65S3R0,Q3,,1,40
20,MOSFET_ENH_ND,Q4,IPN70R2K1CE,1,40
21,MOSFET_ENH_P,Q5,SI4143DY-T1-GE3,1,40
22,MOSFET_ENH_ND,"Q6, Q7, Q8, Q9, Q10",IRLML6244,5,200
23,RES_FIXED,R1,0.004,1,40
24,RES_FIXED,R2,100k,1,40
25,RES_1206_L,R3,,1,40
26,RES_FIXED,"R4, R5, R7, R8",1M,4,160
27,RES_1206_L,"R6, R9, R10, R11, R13, R14, R17",10k,7,280
28,RES_1206_L,R12,470k,1,40
29,RES_ARRAY_4RI,"R15, R16",1M,2,80
30,RES_1206_L,R18,47k,1,40
31,MCP1700T-3002E/MB,U1,,1,40
32,UCC27533,U2,,1,40
33,INA281A-Q1,U3,INA281A3-Q1,1,40
34,SN74LVC1G98-EP,"U4, U5",,2,80
35,TPS2080D,U6,,1,40
36,MC74LVX4052DR2G,U7,,1,40
37,DS3231SN,U8,,1,40
38,ADS1100,U9,,1,40
